Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported,Latitude,Longitude
Western,HUDSON,Williamstown,WIL103,2009,2019,132,11,0.9166666666666666,42.72916666666667,73.2125
Connecticut River,CONNECTICUT,Williamsburg,WIL210,1913,1996,1008,95,0.9057539682539683,42.72916666666667,73.2125
Northeast,IPSWICH,Wilmington,WIL703,1933,2019,1044,92,0.9118773946360154,42.57302777777778,71.14416666666668
Western,HOUSATONIC,Windsor,WIN107,2003,2019,204,21,0.8970588235294118,42.479305555555555,73.09587499999999
Central,MILLERS,Winchendon,WIN402,1893,2019,1524,66,0.9566929133858267,42.68422222222222,72.08052777777777
Northeast,BOSTON HARBOR,Winchester,WIN705,1875,2019,1740,139,0.9201149425287356,42.45727777777778,71.13958333333333
Northeast,BOSTON HARBOR,Woburn,WOB702,1987,2015,348,63,0.8189655172413793,42.45727777777778,71.13958333333333
Connecticut River,WESTFIELD,Worthington,WOR208,1917,2015,1188,158,0.867003367003367,42.38963888888889,72.92533333333334
Central,BLACKSTONE,Worcester,WORNWS,1950,2015,792,69,0.9128787878787878,42.270472222222224,71.87366666666667
Southeast,CHARLES,Wrentham,WRE729,1948,2019,864,100,0.8842592592592593,42.072944444444445,71.35302777777777
Southeast,BLACKSTONE,Wrentham,WRE730,1921,2015,1140,105,0.9078947368421053,42.072944444444445,71.35302777777777
Cape Cod and Islands,CAPE COD,West Yarmouth,YAR911,1992,2015,288,28,0.9027777777777778,42.072944444444445,71.35302777777777
