Station,Year,Month,Precipitation
BOSNWS,1925,12,3.12
BOSNWS,1926,1,3.05
BOSNWS,1926,2,2.16
BOSNWS,1926,3,1.85
BOSNWS,1926,4,2.46
BOSNWS,1926,5,1.4
BOSNWS,1926,6,4.31
BOSNWS,1926,7,5.21
BOSNWS,1926,8,4.16
BOSNWS,1926,9,2.54
BOSNWS,1926,10,2.55
BOSNWS,1926,11,2.78
BOSNWS,1926,12,2.9
BOSNWS,1927,1,3.62
BOSNWS,1927,2,5.16
BOSNWS,1927,3,2.43
BOSNWS,1927,4,2.25
BOSNWS,1927,5,3.58
BOSNWS,1927,6,6.06
BOSNWS,1927,7,3.51
BOSNWS,1927,8,2.8
BOSNWS,1927,9,1.7
BOSNWS,1927,10,2.81
BOSNWS,1927,11,2.26
BOSNWS,1927,12,4.92
BOSNWS,1928,1,3.85
BOSNWS,1928,2,3.3
BOSNWS,1928,3,3.9
BOSNWS,1928,4,2.17
BOSNWS,1928,5,2.33
BOSNWS,1928,6,2.34
BOSNWS,1928,7,4.02
BOSNWS,1928,8,3.92
BOSNWS,1928,9,3.21
BOSNWS,1928,10,3.2
BOSNWS,1928,11,2.24
BOSNWS,1928,12,1.8
BOSNWS,1929,1,3.49
BOSNWS,1929,2,4.06
BOSNWS,1929,3,1.59
BOSNWS,1929,4,3.31
BOSNWS,1929,5,1.27
BOSNWS,1929,6,2.25
BOSNWS,1929,7,4.04
BOSNWS,1929,8,3.35
BOSNWS,1929,9,1.81
BOSNWS,1929,10,2.36
BOSNWS,1929,11,2.21
BOSNWS,1929,12,3.31
BOSNWS,1930,1,3.37
BOSNWS,1930,2,3.66
BOSNWS,1930,3,2.3
BOSNWS,1930,4,2.41
BOSNWS,1930,5,3.11
BOSNWS,1930,6,4.95
BOSNWS,1930,7,1.3
BOSNWS,1930,8,3.34
BOSNWS,1930,9,2.85
BOSNWS,1930,10,4.01
BOSNWS,1930,11,3.0
BOSNWS,1930,12,4.25
BOSNWS,1931,1,3.1
BOSNWS,1931,2,3.76
BOSNWS,1931,3,3.25
BOSNWS,1931,4,3.75
BOSNWS,1931,5,3.27
BOSNWS,1931,6,1.6
BOSNWS,1931,7,4.15
BOSNWS,1931,8,3.63
BOSNWS,1931,9,3.4
BOSNWS,1931,10,4.65
BOSNWS,1931,11,1.91
BOSNWS,1931,12,2.6
BOSNWS,1932,1,2.97
BOSNWS,1932,2,2.4
BOSNWS,1932,3,1.98
BOSNWS,1932,4,1.42
BOSNWS,1932,5,3.22
BOSNWS,1932,6,0.77
BOSNWS,1932,7,5.98
BOSNWS,1932,8,1.78
BOSNWS,1932,9,3.47
BOSNWS,1932,10,6.62
BOSNWS,1932,11,1.74
BOSNWS,1932,12,2.8
BOSNWS,1933,1,0.58
BOSNWS,1933,2,3.1
BOSNWS,1933,3,2.47
BOSNWS,1933,4,3.34
BOSNWS,1933,5,1.72
BOSNWS,1933,6,2.03
BOSNWS,1933,7,3.51
BOSNWS,1933,8,2.14
BOSNWS,1933,9,2.92
BOSNWS,1933,10,2.35
BOSNWS,1933,11,1.72
BOSNWS,1933,12,4.18
BOSNWS,1934,1,3.66
BOSNWS,1934,2,2.22
BOSNWS,1934,3,2.21
BOSNWS,1934,4,1.48
BOSNWS,1934,5,3.55
BOSNWS,1934,6,1.12
BOSNWS,1934,7,2.89
BOSNWS,1934,8,2.15
BOSNWS,1934,9,0.65
BOSNWS,1934,10,8.76
BOSNWS,1934,11,1.5
BOSNWS,1934,12,5.37
BOSNWS,1935,1,4.79
BOSNWS,1935,2,1.48
BOSNWS,1935,3,3.97
BOSNWS,1935,4,4.21
BOSNWS,1935,5,3.04
BOSNWS,1935,6,3.72
BOSNWS,1935,7,2.77
BOSNWS,1935,8,3.71
BOSNWS,1935,9,3.4
BOSNWS,1935,10,2.04
BOSNWS,1935,11,1.72
BOSNWS,1935,12,3.16
BOSNWS,1936,1,5.25
BOSNWS,1936,2,4.07
BOSNWS,1936,3,1.72
BOSNWS,1936,4,1.79
BOSNWS,1936,5,2.77
BOSNWS,1936,6,1.78
BOSNWS,1936,7,5.21
BOSNWS,1936,8,3.65
BOSNWS,1936,9,2.47
BOSNWS,1936,10,2.76
BOSNWS,1936,11,2.15
BOSNWS,1936,12,3.95
BOSNWS,1937,1,2.27
BOSNWS,1937,2,2.7
BOSNWS,1937,3,2.0
BOSNWS,1937,4,2.65
BOSNWS,1937,5,3.03
BOSNWS,1937,6,2.76
BOSNWS,1937,7,3.51
BOSNWS,1937,8,3.42
BOSNWS,1937,9,3.54
BOSNWS,1937,10,2.0
BOSNWS,1937,11,1.67
BOSNWS,1937,12,1.85
BOSNWS,1938,1,3.47
BOSNWS,1938,2,2.36
BOSNWS,1938,3,2.37
BOSNWS,1938,4,2.16
BOSNWS,1938,5,2.83
BOSNWS,1938,6,1.76
BOSNWS,1938,7,3.23
BOSNWS,1938,8,3.18
BOSNWS,1938,9,2.36
BOSNWS,1938,10,1.47
BOSNWS,1938,11,1.41
BOSNWS,1938,12,2.33
BOSNWS,1939,1,3.96
BOSNWS,1939,2,3.74
BOSNWS,1939,3,2.6
BOSNWS,1939,4,2.9
BOSNWS,1939,5,3.35
BOSNWS,1939,6,3.76
BOSNWS,1939,7,3.66
BOSNWS,1939,8,2.48
BOSNWS,1939,9,2.02
BOSNWS,1939,10,2.58
BOSNWS,1939,11,3.85
BOSNWS,1939,12,3.93
BOSNWS,1940,1,1.05
BOSNWS,1940,2,4.79
BOSNWS,1940,3,2.05
BOSNWS,1940,4,4.79
BOSNWS,1940,5,3.05
BOSNWS,1940,6,3.52
BOSNWS,1940,7,3.34
BOSNWS,1940,8,2.74
BOSNWS,1940,9,3.01
BOSNWS,1940,10,3.7
BOSNWS,1940,11,4.24
BOSNWS,1940,12,2.2
BOSNWS,1941,1,3.07
BOSNWS,1941,2,3.32
BOSNWS,1941,3,3.3
BOSNWS,1941,4,4.11
BOSNWS,1941,5,2.14
BOSNWS,1941,6,2.1
BOSNWS,1941,7,3.77
BOSNWS,1941,8,3.15
BOSNWS,1941,9,3.58
BOSNWS,1941,10,1.01
BOSNWS,1941,11,0.97
BOSNWS,1941,12,1.11
BOSNWS,1942,1,7.09
BOSNWS,1942,2,2.62
BOSNWS,1942,3,3.18
BOSNWS,1942,4,5.56
BOSNWS,1942,5,2.88
BOSNWS,1942,6,3.32
BOSNWS,1942,7,1.45
BOSNWS,1942,8,4.95
BOSNWS,1942,9,2.22
BOSNWS,1942,10,3.9
BOSNWS,1942,11,1.57
BOSNWS,1942,12,1.6
BOSNWS,1943,1,2.45
BOSNWS,1943,2,2.57
BOSNWS,1943,3,2.82
BOSNWS,1943,4,3.74
BOSNWS,1943,5,2.09
BOSNWS,1943,6,3.19
BOSNWS,1943,7,2.26
BOSNWS,1943,8,2.89
BOSNWS,1943,9,3.41
BOSNWS,1943,10,1.83
BOSNWS,1943,11,2.93
BOSNWS,1943,12,1.72
BOSNWS,1944,1,2.28
BOSNWS,1944,2,1.45
BOSNWS,1944,3,3.2
BOSNWS,1944,4,8.22
BOSNWS,1944,5,1.46
BOSNWS,1944,6,2.99
BOSNWS,1944,7,3.59
BOSNWS,1944,8,0.8
BOSNWS,1944,9,2.78
BOSNWS,1944,10,3.68
BOSNWS,1944,11,
BOSNWS,1944,12,4.78
BOSNWS,1945,1,3.89
BOSNWS,1945,2,5.64
